conc,speeds
160,0.0256314367450731
160,0.0471492424242424
160,0.0332552377622378
160,0.039361694214876
160,0.0329140771349862
80,0.0459454545454545
80,0.0424561722488038
80,0.0667431818181818
80,0.0493789256198347
80,0.0611983195592286
40,0.0659967424242424
40,0.0711840909090909
40,0.0704469696969697
40,0.0735519696969697
40,0.0529648863636364
20,0.0830842148760331
20,0.0740600445009536
20,0.0911003787878788
20,0.068157196969697
20,0.076322027972028
10,0.0910140151515152
10,0.0838875
10,0.0746193181818182
10,0.0693102272727273
10,0.0854431818181818
5,0.0861198622589532
5,0.0810761363636364
5,0.0827170454545454
5,0.0797931060606061
5,0.0831238636363636
2.5,0.0967189393939394
2.5,0.0900189393939394
2.5,0.0900090909090909
2.5,0.102017575757576
2.5,0.0889840909090909
1.25,0.100407575757576
1.25,0.0937453787878788
1.25,0.0858168181818182
1.25,0.0791975757575758
1.25,0.0687276584022039
0.625,0.0888795454545454
0.625,0.0923345454545454
0.625,0.0988749999999999
0.625,0.103178787878788
0.625,0.105511363636364
0.3125,0.102548484848485
0.3125,0.115442196969697
0.3125,0.0996037878787879
0.3125,0.100268181818182
0.3125,0.102477272727273
0.15625,0.09226
0.15625,0.0917848484848485
0.15625,0.0907181818181818
0.15625,0.109285909090909
0.15625,0.100585227272727
0.078125,0.0993681818181818
0.078125,0.0905990909090909
0.078125,0.114411742424242
0.078125,0.107492045454545
0.078125,0.1126625
