Conc,p,pmin,pmax
0.075,0.073182812883536,0.0699284129273546,0.0764372128397174
0.1125,0.0721882253314599,0.0691133466177221,0.0752631040451976
0.15,0.0712064676130398,0.0682831452845689,0.0741297899415107
0.1875,0.0702372930685969,0.067437342597045,0.0730372435401488
0.225,0.0692804613210572,0.0665759449542175,0.0719849776878969
0.2625,0.0683357380771889,0.0656995427420207,0.0709719334123572
0.3,0.0674028949363383,0.0648093565724074,0.0699964333002691
0.3375,0.0664817092063359,0.0639071980992026,0.0690562203134693
0.375,0.0655719637262621,0.0629953490764169,0.0681485783761073
0.4125,0.0646734466957741,0.0620763863143425,0.0672705070772057
0.45,0.0637859515107151,0.0611529922380201,0.0664189107834101
0.4875,0.0629092766047348,0.060227787040358,0.0655907661691117
0.525,0.0620432252966688,0.0593032039872656,0.064783246606072
0.5625,0.0611876056434322,0.0583814134077409,0.0639937978791234
0.6,0.0603422302981974,0.0574642893566098,0.0632201712397851
0.6375,0.0595069163736361,0.0565534078757849,0.0624604248714873
0.675,0.0586814853100143,0.0556500652074402,0.0617129054125883
0.7125,0.0578657627479428,0.0547553065656893,0.0609762189301962
0.75,0.0570595784055906,0.0538699588110403,0.060249198000141
0.7875,0.0562627659601812,0.0529946628988363,0.059530869021526
0.825,0.0554751629335968,0.0521299038301047,0.0588204220370889
0.8625,0.0546966105819276,0.0512760371365644,0.0581171840272908
0.9,0.0539269537888058,0.0504333116237861,0.0574205959538255
0.9375,0.0531660409623757,0.0496018885458147,0.0567301933789367
0.975,0.0524137239357556,0.0487818575815091,0.0560455902900021
1.0125,0.0516698578708535,0.0479732500379492,0.0553664657037578
1.05,0.0509343011654066,0.0471760497230095,0.0546925526078036
1.0875,0.0502069153631185,0.0463902018509263,0.0540236288753108
1.125,0.0494875650667752,0.0456156203263355,0.0533595098072148
1.1625,0.0487761178542232,0.044852193735553,0.0527000419728933
1.2,0.0480724441971036,0.0440997902127855,0.0520450981814216
1.2375,0.0473764173822345,0.043358261489475,0.051394573274994
1.275,0.0466879134355425,0.0426274461365382,0.0507483807345468
1.3125,0.0460068110484483,0.0419071723023054,0.0501064497945913
1.35,0.0453329915066126,0.0411972598893006,0.0494687231239247
1.3875,0.0446663386209564,0.040497522415154,0.0488351548267588
1.425,0.0440067386608703,0.0398077685009593,0.0482057088207814
1.4625,0.0433540802895327,0.0391278030878918,0.0475803574911735
1.5,0.0427082545012588,0.0384574284753254,0.0469590805271922
1.5375,0.0420691545608081,0.0377964451289936,0.0463418639926225
1.575,0.0414366759445773,0.0371446523839695,0.0457286995051851
1.6125,0.0408107162836121,0.0365018489930798,0.0451195835741444
1.65,0.0401911753083719,0.035867833573758,0.0445145170429859
1.6875,0.039577954795185,0.0352424049872512,0.0439135046031188
1.725,0.0389709585143344,0.0346253626279981,0.0433165544006706
1.7625,0.0383700921797162,0.0340165066637239,0.0427236776957086
1.8,0.037775263400016,0.0334156382198183,0.0421348885802137
1.8375,0.0371863816313488,0.0328225595265322,0.0415502037361655
1.875,0.0366033581313133,0.0322370740452386,0.040969642217388
1.9125,0.0360261059144099,0.0316589865220975,0.0403932253067223
1.95,0.0354545397087766,0.0310881030881213,0.0398209763294318
1.9875,0.0348885759141967,0.0305242312829926,0.0392529205454008
2.025,0.0343281325613358,0.0299671800977089,0.0386890850249628
2.0625,0.0337731292721655,0.0294167599905347,0.0381294985537962
2.1,0.0332234872215335,0.0288727829102405,0.0375741915328265
2.1375,0.0326791290998433,0.0283350623052114,0.0370231958944752
2.175,0.0321399790768039,0.0278034131351442,0.0364765450184635
2.2125,0.0316059627662155,0.0272776518886186,0.0359342736438123
2.25,0.0310770071917562,0.0267575965839149,0.0353964177995976
2.2875,0.0305530407537373,0.0262430668099161,0.0348630146975585
2.325,0.030033993196794,0.0257338837465525,0.0343341026470354
2.3625,0.0295197955784823,0.0252298701894578,0.0338097209675069
2.4,0.0290103802387527,0.0247308506246754,0.03328990985283
2.4375,0.02850568077027,0.0242366512570396,0.0327747102835004
2.475,0.0280056319895556,0.02374710011046,0.0322641638686512
2.5125,0.0275101699089223,0.0232620270958685,0.031758312721976
2.55,0.0270192317091786,0.0227812641194202,0.031257199298937
2.5875,0.0265327557130775,0.0223046452017985,0.0307608662243566
2.625,0.0260506813594853,0.0218320066062924,0.0302693561126781
2.6625,0.0255729491782487,0.0213631869896566,0.0297827113668408
2.7,0.0250995007657385,0.0208980275705463,0.0293009739609308
2.7375,0.0246302787610475,0.0204363723014651,0.02882418522063
2.775,0.0241652268228234,0.0199780680700828,0.028352385575564
2.8125,0.0237042896067165,0.0195229649009343,0.0278856143124986
2.85,0.0232474127434235,0.0190709161754825,0.0274239093113645
2.8875,0.022794542817309,0.0186217788561778,0.0269673067784401
2.925,0.0223456273455868,0.018175413722663,0.0265158409685106
2.9625,0.0219006147580445,0.0177316856044257,0.0260695439116633
3,0.0214594543772945,0.0172904636263393,0.0256284451282497
3.0375,0.0210220963995354,0.0168516214299296,0.0251925713691412
3.075,0.0205884918758093,0.0164150374106747,0.0247619463409439
3.1125,0.0201585926937391,0.0159805949314318,0.0243365904560464
3.15,0.0197323515597321,0.0155481825283491,0.023916520591115
3.1875,0.0193097219816361,0.0151176940897965,0.0235017498734757
3.225,0.0188906582518345,0.0146890290245611,0.0230922874791079
3.2625,0.0184751154307674,0.014262092403475,0.0226881384580599
3.3,0.0180630493308663,0.0138367950651454,0.0222893035965871
3.3375,0.0176544165008903,0.0134130537025847,0.0218957792991959
3.375,0.0172491742106526,0.0129907909087776,0.0215075575125277
