Conc,Speed_mean,Speed_sd
0,0.102121893939394,0.00375831757974074
0.15625,0.0939631649713923,0.00642297302823525
0.3125,0.10041004852723,0.00625041991715006
0.625,0.0941264415130324,0.00414103264071317
1.25,0.0900998713975419,0.00629433792914644
2.5,0.0937235283958466,0.00389312325357703
5,0.0803137323585505,0.0071754468768101
10,0.0834254755244755,0.0110826319155662
20,0.0801217194570136,0.00796426843203129
40,0.0673131171827282,0.00969652931672307
80,0.0513703903734459,0.00612168884717767
160,0,0
