Conc,p,pmin,pmax
0.39,0.0908949400640585,0.0851783588802075,0.0966115212479095
0.585,0.0914041667648204,0.0858797102766526,0.0969286232529882
0.78,0.0919056739168993,0.0865572802948028,0.0972540675389958
0.975,0.0923996357348811,0.0872114576333899,0.0975878138363724
1.17,0.0928862212302654,0.0878426660306286,0.0979297764299022
1.365,0.0933655944042699,0.0884513732534067,0.098279815555133
1.56,0.0938379144321244,0.0890380987191129,0.098637730145136
1.755,0.0943033358392898,0.0896034191317801,0.0990032525467995
1.95,0.0947620086700109,0.0901479715950266,0.0993760457449953
2.145,0.095214078648591,0.0906724538194122,0.0997557034777699
2.34,0.0956596873337503,0.0911776212682733,0.100141753399227
2.535,0.0960989722664135,0.0916642813447485,0.100533663188078
2.73,0.0965320671112493,0.0921332849771151,0.100930849245384
2.925,0.0969591017922688,0.0925855161846705,0.101332687399867
3.12,0.097380202622771,0.0930218803462281,0.101738524899314
3.315,0.0977954924299084,0.0934432919505342,0.102147692909282
3.51,0.0982050906741319,0.0938506625709138,0.10255951877735
3.705,0.0986091135637576,0.0942448897002683,0.102973337427247
3.9,0.0990076741648866,0.0946268469225641,0.103388501407209
4.095,0.0994008825068972,0.0949973757316031,0.103804389282191
4.29,0.0997888456837148,0.0953572791261129,0.104220412241317
4.485,0.100171667951056,0.0957073169708078,0.104636018931305
4.68,0.100549450819834,0.096048203023689,0.10505069861598
4.875,0.100922293145897,0.096380603413726,0.105463982878068
5.07,0.101290291216269,0.0967051363637536,0.105875446068784
5.265,0.101653538832053,0.0970223729131223,0.106284704750983
5.46,0.102012127388143,0.0973328383914336,0.106691416384852
5.655,0.102366145949888,0.0976370144700257,0.10709527742975
5.85,0.102715681326842,0.0979353415726728,0.107496021081011
6.045,0.103060818143734,0.0982282215244315,0.107893414763036
6.24,0.10340163890877,0.0985160202946301,0.10828725752291
6.435,0.103738224079396,0.0987990707694134,0.108677377389379
6.63,0.104070652125614,0.0990776754531198,0.109063628798108
6.825,0.104398999590976,0.0993521090845755,0.109445890097376
7.02,0.10472334115134,0.0996226210937338,0.109824061208946
7.215,0.105043749671492,0.0998894379308791,0.110198061412105
7.41,0.105360296259717,0.100152765210674,0.110567827308759
7.605,0.10567305032041,0.100412789696203,0.110933310944618
7.8,0.105982079604811,0.100669681117363,0.111294478092258
7.995,0.106287450259929,0.100923593825375,0.111651306694483
8.19,0.106589226875751,0.101174668300649,0.112003785450854
8.385,0.106887472530781,0.101423032524722,0.112351912536841
8.58,0.107182248836,0.101668803198937,0.112695694473064
8.775,0.107473615977295,0.101912086869054,0.113035145085536
8.97,0.107761632756425,0.102152980919794,0.113370284593055
9.165,0.108046356630585,0.102391574483088,0.113701138778082
9.36,0.10832784375062,0.102627949243005,0.114027738258236
9.555,0.108606148997937,0.102862180166239,0.114350117829636
9.75,0.108881326020181,0.103094336156707,0.114668315883655
9.945,0.109153427265709,0.103324480641458,0.11498237388996
10.14,0.109422504016917,0.103552672097666,0.115292335936167
10.335,0.10968860642246,0.103778964526202,0.115598248318718
10.53,0.109951783528413,0.104003407880027,0.115900159176798
10.725,0.110212083308403,0.104226048443684,0.116198118173123
10.92,0.110469552692768,0.104446929182482,0.116492176203055
11.115,0.110724237596759,0.104666090038641,0.116782385154877
11.31,0.11097618294784,0.104883568228162,0.117068797667519
11.505,0.11122543271211,0.105099398476884,0.117351466947336
11.7,0.111472029919878,0.105313613255285,0.117630446584472
11.895,0.11171601669043,0.105526242972309,0.117905790408552
12.09,0.111957434256012,0.105737316169,0.118177552343023
12.285,0.112196322985057,0.105946859677915,0.118445786292198
12.48,0.112432722404691,0.106154898779259,0.118710546030124
12.675,0.112666671222536,0.106361457325528,0.118971885119545
12.87,0.112898207347837,0.106566557877992,0.119229856817682
