Conc,Speed_mean,Speed_sd
0,0.0793919143222098,0.00440114356642246
0.0006103515625,0.0849994571909572,0.00954708731278112
0.0048828125,0.0853735257116621,0.00923049263163126
0.009765625,0.0688003543815192,0.00636460030177674
0.01953125,0.0668613752711935,0.00720285061869299
0.0390625,0.069130936981579,0.00593338830920183
0.078125,0.0697725401267504,0.00489173343386477
0.15625,0.0696321870267779,0.00561147675877543
0.3125,0.0667259375254375,0.00602166550006681
0.625,0.0677343275544272,0.0059543740917913
1.25,0.0670913818831075,0.00950247639680062
2.5,0.0645285032076509,0.00334302445554135
5,0.0608954705168569,0.00441048288827045
10,0.0494382946127946,0.00722192530286925
