Conc,Speed_mean,Speed_sd
0,0.0871235904922098,0.0107443611965954
0.39,0.0895597789445403,0.00707007957437804
0.78,0.0923107860069224,0.00503681043868672
1.56,0.0958541835134562,0.00487002419616701
3.125,0.0948282660369933,0.00754140486093749
6.25,0.10791233161157,0.00123850823020559
12.5,0.116782263487144,0.00296774007138356
25,0.121534458603896,0.00372362849077428
50,0.134486201118326,0.00705262336795984
100,0.135186546807359,0.00360023665813421
200,0.148842155483405,0.0167912605639723
250,0.159645724657287,0.00872056423818472
